Model Family,Model Nickname,HuggingFace Path,HuggingFace Revision
Llama 2,LLama2_Pubmed_Ckpt_7,UDACA/llama2-pubmed-ckpt-7,
Llama 2,LLama2_Uspto_Pubmed_Ckpt_6,UDACA/llama2-uspto-pubmed-ckpt-6,
Llama 2,LLama2_Uspto_Pubmed_Ckpt_5,UDACA/llama2-uspto-pubmed-ckpt-5,
Llama 2,LLama2_Uspto_Pubmed_Ckpt_4,UDACA/llama2-uspto-pubmed-ckpt-4,
Llama 2,LLama2_Uspto_Pubmed_Ckpt_3,UDACA/llama2-uspto-pubmed-ckpt-3,
Llama 2,LLama2_Pubmed_Ckpt_2,UDACA/llama2-pubmed-ckpt-2,
Llama 2,LLama2_Uspto_Ckpt_1,UDACA/llama2-uspto-ckpt-1,
GPT-2,GPT2_51M_1.31B_USPTO,UDACA/gpt2-51M-1.31B-USPTO,
GPT-2,GPT2_51M_1.31B_PubMedAbs,UDACA/gpt2-51M-1.31B-PubMedAbs,
GPT-2,GPT2_51M_1.31B_USPTOAndPubMedAbs,UDACA/gpt2-51M-1.31B-USPTOAndPubMedAbs,
GPT-2,GPT2_51M_557M_USPTO,UDACA/gpt2-51M-557M-USPTO,
GPT-2,GPT2_51M_557M_PubMedAbs,UDACA/gpt2-51M-557M-PubMedAbs,
GPT-2,GPT2_51M_557M_USPTOAndPubMedAbs,UDACA/gpt2-51M-557M-USPTOAndPubMedAbs,
GPT-2,GPT2_117M_2.2B_USPTO,UDACA/gpt2-117M-2.2B-USPTO,
GPT-2,GPT2_117M_2.2B_PubMedAbs,UDACA/gpt2-117M-2.2B-PubMedAbs,
GPT-2,GPT2_117M_2.2B_USPTOAndPubMedAbs,UDACA/gpt2-117M-2.2B-USPTOAndPubMedAbs,
GPT-2,GPT2_204M_USPTO,UDACA/gpt2-204M-USPTO,
GPT-2,GPT2_204M_PubMedAbs,UDACA/gpt2-204M-PubMedAbs,
GPT-2,GPT2_204M_USPTOAndPubMedAbs,UDACA/gpt2-204M-USPTOandPubMedAbs,
GPT-2,GPT2_345M_2.2B_USPTO,UDACA/gpt2-345M-2.2B-USPTO,
GPT-2,GPT2_345M_2.2B_PubMedAbs,UDACA/gpt2-345M-2.2B-PubMedAbs,
GPT-2,GPT2_345M_2.2B_USPTOAndPubMedAbs,UDACA/gpt2-345M-2.2B-USPTOandPubMedAbs,
GPT-2,GPT2_810M_PubMedAbs,UDACA/gpt2-810M-PubMedAbs,
GPT-2,GPT2_810M_2.2B_USPTOAndPubMedAbs,UDACA/gpt2-810M-2.2B-USPTOAndPubMedAbs,
GPT-2,GPT2_1.5B_180M_USPTO,UDACA/gpt2-1.5B-180M-USPTO,
GPT-2,GPT2_1.5B_180M_PubMedAbs,UDACA/gpt2-1.5B-180M-PubMedAbs,
GPT-2,GPT2_1.5B_180M_USPTOAndPubMedAbs,UDACA/gpt2-1.5B-180M-USPTOAndPubMedAbs,
